name,link,description,image
the elder scrolls v skyrim,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/,"Winner of more than 200 Game of the Year Awards, Skyrim Special Edition brings the epic fantasy to life in stunning detail. The Special Edition includes the critically acclaimed game and add-ons with all-new features like remastered art and effects, volumetric god rays, dynamic depth of field, screen-space reflections, and more. Skyrim Special Edition also brings the full power of mods to the PC and consoles. New quests, environments, characters, dialogue, armor, weapons and more – with Mods, there are no limits to what you can experience.",https://cdn.cloudflare.steamstatic.com/steam/apps/489830/header.jpg?t=1650909796
fallout 4,https://store.steampowered.com/app/377160/Fallout_4/,"Bethesda Game Studios, the award-winning creators of Fallout 3 and The Elder Scrolls V: Skyrim, welcome you to the world of Fallout 4 – their most ambitious game ever, and the next generation of open-world gaming.",https://cdn.cloudflare.steamstatic.com/steam/apps/377160/header.jpg?t=1650909928
spore,https://store.steampowered.com/app/17390/SPORE/,"Be the architect of your own universe with Spore, an exciting single-player adventure. From Single Cell to Galactic God, evolve your creature in a universe of your own creations.",https://cdn.cloudflare.steamstatic.com/steam/apps/17390/header.jpg?t=1642702281
fallout new vegas,https://store.steampowered.com/app/22380/Fallout_New_Vegas/,"Welcome to Vegas. New Vegas.
It’s the kind of town where you dig your own grave prior to being shot in the head and left for dead…and that’s before things really get ugly. It’s a town of dreamers and desperados being torn apart by warring factions vying for complete control of this desert oasis. It’s a place where the right kind of person with the right kind of weaponry can really make a name for themselves, and make more than an enemy or two along the way.
As you battle your way across the heat-blasted Mojave Wasteland, the colossal Hoover Dam, and the neon drenched Vegas Strip, you’ll be introduced to a colorful cast of characters, power-hungry factions, special weapons, mutated creatures and much more. Choose sides in the upcoming war or declare “winner takes all” and crown yourself the King of New Vegas in this follow-up to the 2008 videogame of the year, Fallout 3.",https://cdn.cloudflare.steamstatic.com/steam/apps/22380/header.jpg?t=1586905021
left 4 dead 2,https://store.steampowered.com/app/550/Left_4_Dead_2/,"Left 4 Dead 2 (L4D2), the highly anticipated sequel to the award-winning Left 4 Dead, welcomes you into a zombie-infested world.
Blast cities, swamps and cemeteries to zombies with your friends in L4D2's five new scenarios, from Savannah to New Orleans!
Choose from four new survivors, fully equipped with classic and enhanced weapons. Along with firearms, wreak havoc with the infected using chainsaws, axes and of course the most dangerous melee weapon, the deadly frying pan.",https://cdn.cloudflare.steamstatic.com/steam/apps/550/header.jpg?t=1630686839
path of exile,https://store.steampowered.com/app/238960/Path_of_Exile/,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world.",https://cdn.cloudflare.steamstatic.com/steam/apps/238960/header.jpg?t=1652469162
left 4 dead,https://store.steampowered.com/app/500/Left_4_Dead/,"From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.",https://cdn.cloudflare.steamstatic.com/steam/apps/500/header.jpg?t=1623087651
team fortress 2,https://store.steampowered.com/app/440/Team_Fortress_2/,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",https://cdn.cloudflare.steamstatic.com/steam/apps/440/header.jpg?t=1592263852
tomb raider,https://store.steampowered.com/app/203160/Tomb_Raider/,Tomb Raider explores the intense origin story of Lara Croft and her ascent from a young woman to a hardened survivor.,https://cdn.cloudflare.steamstatic.com/steam/apps/203160/header.jpg?t=1644227315
the banner saga,https://store.steampowered.com/app/237990/The_Banner_Saga/,Live through an epic role-playing Viking saga where your strategic choices directly affect your personal journey. Make allies as you travel with your caravan across this stunning yet harsh landscape. Carefully choose those who will help fight a new threat that jeopardizes an entire civilization.,https://cdn.cloudflare.steamstatic.com/steam/apps/237990/header.jpg?t=1650912084
dota 2,https://store.steampowered.com/app/570/Dota_2/,"Single battlefield. Infinite possibilities.
When it comes to the variety of heroes, abilities, and powerful items, Dota offers endless options. No match is ever the same. Each hero can play many roles, and every match has a variety of items to suit your hero and the situation. Dota does not impose limitations on how to play the game, it allows you to find your own playstyle.",https://cdn.cloudflare.steamstatic.com/steam/apps/570/header.jpg?t=1650611880
ultra street fighter iv,https://store.steampowered.com/app/45760/Ultra_Street_Fighter_IV/,"The world’s greatest fighting game evolves to a whole new level with Ultra Street Fighter IV. Continuing the tradition of excellence the series is known for, five new characters and six new stages have been added for even more fighting mayhem, with rebalanced gameplay and original modes topping off this ultimate offering.",https://cdn.cloudflare.steamstatic.com/steam/apps/45760/header.jpg?t=1644283495
sid meiers civilization v,https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/,"Become Ruler of the World by establishing and leading a civilization from the dawn of man into the space age: Wage war, conduct diplomacy, discover new technologies, go head-to-head with some of history’s greatest leaders and build the most powerful empire the world has ever known.",https://cdn.cloudflare.steamstatic.com/steam/apps/8930/header.jpg?t=1579731804
la noire,https://store.steampowered.com/app/110800/LA_Noire/,"Using the revolutionary animation technology Motion Scan that astonishingly captures every detail of the actor's gestures and facial movements, LA Noire offers a unique interactive experience as a violent crime/thriller game that combines breathtaking action with true detective action. Gather clues, seek and find suspects, interrogate witnesses, and the truth is revealed in this city where everyone is hiding something.
Using the revolutionary animation technology Motion Scan that astonishingly captures every detail of the actor's gestures and facial movements, LA Noire offers a unique interactive experience as a violent crime/thriller game that combines breathtaking action with true detective action. Gather clues, seek and find suspects, interrogate witnesses, and the truth is revealed in this city where everyone is hiding something.
Using the revolutionary animation technology Motion Scan that astonishingly captures every detail of the actor's gestures and facial movements, LA Noire offers a unique interactive experience as a violent crime/thriller game that combines breathtaking action with true detective action. Gather clues, seek and find suspects, interrogate witnesses, and the truth is revealed in this city where everyone is hiding something.",https://cdn.cloudflare.steamstatic.com/steam/apps/110800/header.jpg?t=1648581040
7 days to die,https://store.steampowered.com/app/251570/7_Days_to_Die/,"7 Days to Die; It is an open world game that is a unique combination of first-person shooter, survival-horror, tower defense and role-playing games. Play the ultimate zombie survival sandbox RPG, the first of its kind. Navezgane is waiting!",https://cdn.cloudflare.steamstatic.com/steam/apps/251570/header.jpg?t=1650477344
final fantasy vii,https://store.steampowered.com/app/39140/FINAL_FANTASY_VII/,"In Midgar, a city controlled by the mega-conglomerate Shinra Inc., the No. 1 Mako Reactor has been blown up by a rebel group, AVALANCHE.

AVALANCHE was secretly formed to wage a rebellion against Shinra Inc., an organisation which is absorbing Mako energy, destroying the natural resources of the planet. Cloud, a former member of Shinra's elite combat force, SOLDIER, was involved with the bombing of the Mako Reactor.",https://cdn.cloudflare.steamstatic.com/steam/apps/39140/header.jpg?t=1574952550
orcs must die 2,https://store.steampowered.com/app/201790/Orcs_Must_Die_2/,"You’ve tossed, burned and sliced them by the thousands – now orcs must die more than ever before! Grab a friend and slay orcs in untold numbers in this sequel to the 2011 AIAS Strategy Game of the Year from Robot Entertainment.",https://cdn.cloudflare.steamstatic.com/steam/apps/201790/header.jpg?t=1631205565
killing floor,https://store.steampowered.com/app/1250/Killing_Floor/,"6-player co-op survival horror at its finest! Free updates, free special events and a ridiculous amount of fun!",https://cdn.cloudflare.steamstatic.com/steam/apps/1250/header.jpg?t=1551468074
bastion,https://store.steampowered.com/app/107100/Bastion/,"Discover the secrets of the Calamity, a surreal catastrophe that shattered the world to pieces.",https://cdn.cloudflare.steamstatic.com/steam/apps/107100/header.jpg?t=1601950406
undertale,https://store.steampowered.com/app/391540/Undertale/,"Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever.",https://cdn.cloudflare.steamstatic.com/steam/apps/391540/header.jpg?t=1579096091
counterstrike global offensive,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/,"Counter-Strike: Global Offensive (CS: GO) takes the team-based action game it pioneered when it first launched 19 years ago to the next level. CS:GO offers new maps, characters, weapons and game modes, as well as updated versions of classic CS content (de_dust2 etc.).",https://cdn.cloudflare.steamstatic.com/steam/apps/730/header.jpg?t=1641233427
grand theft auto v,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/,The PC version of Grand Theft Auto V offers players the opportunity to explore the world of Los Santos and Blaine County in 4k and beyond resolution and 60fps refresh rate.,https://cdn.cloudflare.steamstatic.com/steam/apps/271590/header.jpg?t=1618856444
insurgency,https://store.steampowered.com/app/222880/Insurgency/,"Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience.",https://cdn.cloudflare.steamstatic.com/steam/apps/222880/header.jpg?t=1610560212
metal gear solid v the phantom pain,https://store.steampowered.com/app/287700/METAL_GEAR_SOLID_V_THE_PHANTOM_PAIN/,"Opening a new era in the cutting-edge METAL GEAR membership powered by the Fox Engine, METAL GEAR SOLID V: The Phantom Pain provides gamers with a superior gaming experience as they are given the tactical freedom to perform open world missions.",https://cdn.cloudflare.steamstatic.com/steam/apps/287700/header.jpg?t=1650524256
